Experiement,Stimulus Range,Stim Duration,Stim Delay,Initial Vm,gLeak,gNa,gKHT,gKLT,gIH,gKA,ELeak,EK,ENa,cam,kam,cbm,kbm,Folder,group
all_fitted_params_sweep_16_clipped_510ms_08122022_P9_FVB_PunTeTx_iMNTB_220pA_S1C3_20250624_122402,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,4.74,207.72,273.41,34.79,11.78,75.22,-75.65,-106.81 mV,62.77 mV,96.57,0.04,7.8,-0.03,simulation_all_fitted_params_sweep_16_clipped_510ms_08122022_P9_FVB_PunTeTx_iMNTB_220pA_S1C3_20250624_122402,iMNTB
all_fitted_params_sweep_14_clipped_510ms_08122022_P9_FVB_PunTeTx_iMNTB_180pA_S2C1_20250624_122523,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,6.81,217.01,220.51,19.05,12.0,60.95,-73.57,-106.81 mV,62.77 mV,62.24,0.04,7.12,-0.03,simulation_all_fitted_params_sweep_14_clipped_510ms_08122022_P9_FVB_PunTeTx_iMNTB_180pA_S2C1_20250624_122523,iMNTB
all_fitted_params_sweep_13_clipped_510ms_02072024_P9_FVB_PunTeTx_Dan_iMNTB_160pA_S3C3_20250624_154105,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,5.95,207.5,166.07,48.83,4.55,30.56,-74.97,-106.81 mV,62.77 mV,88.75,0.04,5.6,-0.04,simulation_all_fitted_params_sweep_13_clipped_510ms_02072024_P9_FVB_PunTeTx_Dan_iMNTB_160pA_S3C3_20250624_154105,iMNTB
all_fitted_params_sweep_17_clipped_510ms_08122022_P9_FVB_PunTeTx_iMNTB_240pA_S1C2_20250624_122608,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,8.67,236.99,263.65,38.59,7.15,40.28,-74.93,-106.81 mV,62.77 mV,95.46,0.03,6.7,-0.04,simulation_all_fitted_params_sweep_17_clipped_510ms_08122022_P9_FVB_PunTeTx_iMNTB_240pA_S1C2_20250624_122608,iMNTB
all_fitted_params_sweep_16_clipped_510ms_12172022_P9_FVB_PunTeTx_iMNTB_220pA_S2C2_20250624_122451,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,4.6,256.72,217.42,25.38,13.54,25.31,-80.91,-106.81 mV,62.77 mV,85.04,0.04,7.69,-0.03,simulation_all_fitted_params_sweep_16_clipped_510ms_12172022_P9_FVB_PunTeTx_iMNTB_220pA_S2C2_20250624_122451,iMNTB
all_fitted_params_sweep_8_clipped_510ms_10142022_P9_FVB_PunTeTx_TeNT_60pA_S1C1_20250624_103404,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,4.62,118.41,188.1,3.91,10.38,112.37,-70.0,-106.81 mV,62.77 mV,60.88,0.03,5.67,-0.04,simulation_all_fitted_params_sweep_8_clipped_510ms_10142022_P9_FVB_PunTeTx_TeNT_60pA_S1C1_20250624_103404,TeNT
all_fitted_params_sweep_10_clipped_510ms_12172022_P9_FVB_PunTeTx_TeNT_100pA_S2C4_20250624_103550,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,8.85,210.53,128.04,6.08,2.18,126.67,-70.17,-106.81 mV,62.77 mV,76.56,0.04,8.22,-0.03,simulation_all_fitted_params_sweep_10_clipped_510ms_12172022_P9_FVB_PunTeTx_TeNT_100pA_S2C4_20250624_103550,TeNT
all_fitted_params_sweep_22_clipped_510ms_12232024_P9_FVB_PunTeTx_Dan_TeNT_120pA_S1C1_20250624_103219,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,14.3,300.14,191.88,4.87,7.61,81.7,-72.91,-106.81 mV,62.77 mV,94.8,0.03,8.85,-0.05,simulation_all_fitted_params_sweep_22_clipped_510ms_12232024_P9_FVB_PunTeTx_Dan_TeNT_120pA_S1C1_20250624_103219,TeNT
all_fitted_params_sweep_11_clipped_510ms_02062024_P9_FVB_PunTeTx_Dan_TeNT_120pA_S4C1_20250624_103040,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,9.7,172.86,112.13,6.02,23.75,99.94,-70.0,-106.81 mV,62.77 mV,85.41,0.03,5.97,-0.05,simulation_all_fitted_params_sweep_11_clipped_510ms_02062024_P9_FVB_PunTeTx_Dan_TeNT_120pA_S4C1_20250624_103040,TeNT
all_fitted_params_sweep_12_clipped_510ms_03232022_P9_FVB_PunTeTx_TeNT_140pA_S1C2_20250624_103651,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,8.56,208.92,107.92,14.51,20.73,114.6,-70.0,-106.81 mV,62.77 mV,60.67,0.03,6.39,-0.04,simulation_all_fitted_params_sweep_12_clipped_510ms_03232022_P9_FVB_PunTeTx_TeNT_140pA_S1C2_20250624_103651,TeNT
